dataset,model,seed,iter,best_score,hyperparams
wind,COA-BiLSTM,42,17,0.4525,"{""hidden_dim"":98,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.251}"
wind,COA-BiLSTM,42,18,0.475,"{""hidden_dim"":100,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.254}"
wind,COA-BiLSTM,42,19,0.4762,"{""hidden_dim"":102,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.257}"
wind,COA-BiLSTM,42,20,0.4942,"{""hidden_dim"":104,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.26}"
wind,COA-BiLSTM,42,21,0.5079,"{""hidden_dim"":106,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.263}"
wind,COA-BiLSTM,42,22,0.4912,"{""hidden_dim"":108,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.266}"
wind,COA-BiLSTM,42,23,0.4955,"{""hidden_dim"":110,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.269}"
wind,COA-BiLSTM,42,24,0.4803,"{""hidden_dim"":112,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.272}"
wind,COA-BiLSTM,42,25,0.5142,"{""hidden_dim"":114,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.275}"
wind,COA-BiLSTM,42,26,0.5314,"{""hidden_dim"":116,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.278}"
wind,COA-BiLSTM,42,27,0.5283,"{""hidden_dim"":118,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.281}"
wind,COA-BiLSTM,42,28,0.5361,"{""hidden_dim"":120,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.28400000000000003}"
wind,COA-BiLSTM,42,29,0.5444,"{""hidden_dim"":122,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.28700000000000003}"
wind,COA-BiLSTM,42,30,0.5167,"{""hidden_dim"":124,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29000000000000004}"
wind,COA-BiLSTM,42,31,0.5612,"{""hidden_dim"":126,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29300000000000004}"
wind,COA-BiLSTM,42,32,0.5518,"{""hidden_dim"":128,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29600000000000004}"
wind,COA-BiLSTM,42,33,0.5302,"{""hidden_dim"":130,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29900000000000004}"
wind,COA-BiLSTM,42,34,0.5524,"{""hidden_dim"":132,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.30200000000000005}"
wind,COA-BiLSTM,42,35,0.5555,"{""hidden_dim"":134,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.305}"
wind,COA-BiLSTM,42,36,0.5463,"{""hidden_dim"":136,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.308}"
wind,COA-BiLSTM,42,37,0.5649,"{""hidden_dim"":138,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.311}"
wind,COA-BiLSTM,42,38,0.5645,"{""hidden_dim"":140,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.314}"
wind,COA-BiLSTM,42,39,0.5827,"{""hidden_dim"":142,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.317}"
wind,COA-BiLSTM,42,40,0.5924,"{""hidden_dim"":144,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.32}"
wind,COA-BiLSTM,42,41,0.5917,"{""hidden_dim"":146,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.323}"
wind,COA-BiLSTM,42,42,0.5774,"{""hidden_dim"":148,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.326}"
wind,COA-BiLSTM,42,43,0.6062,"{""hidden_dim"":150,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.329}"
wind,COA-BiLSTM,42,44,0.6179,"{""hidden_dim"":152,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.332}"
wind,COA-BiLSTM,42,45,0.6057,"{""hidden_dim"":154,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.335}"
wind,COA-BiLSTM,42,46,0.597,"{""hidden_dim"":156,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.338}"
wind,COA-BiLSTM,42,47,0.6048,"{""hidden_dim"":158,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.34099999999999997}"
wind,COA-BiLSTM,42,48,0.6228,"{""hidden_dim"":160,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.344}"
wind,COA-BiLSTM,42,49,0.6191,"{""hidden_dim"":162,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.347}"
wind,COA-BiLSTM,42,50,0.6078,"{""hidden_dim"":164,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.35}"
wind,COA-BiLSTM,42,51,0.643,"{""hidden_dim"":166,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.353}"
wind,COA-BiLSTM,42,52,0.6361,"{""hidden_dim"":168,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.356}"
wind,COA-BiLSTM,42,53,0.6132,"{""hidden_dim"":170,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.359}"
wind,COA-BiLSTM,42,54,0.6235,"{""hidden_dim"":172,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.362}"
wind,COA-BiLSTM,42,55,0.6232,"{""hidden_dim"":174,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.365}"
wind,COA-BiLSTM,42,56,0.6547,"{""hidden_dim"":176,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.368}"
wind,COA-BiLSTM,42,57,0.6541,"{""hidden_dim"":178,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.371}"
wind,COA-BiLSTM,42,58,0.6436,"{""hidden_dim"":180,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.374}"
wind,COA-BiLSTM,42,59,0.6465,"{""hidden_dim"":182,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.377}"
wind,COA-BiLSTM,42,60,0.6749,"{""hidden_dim"":184,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.38}"
wind,COA-BiLSTM,42,61,0.6514,"{""hidden_dim"":186,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.383}"
wind,COA-BiLSTM,42,62,0.6617,"{""hidden_dim"":188,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.386}"
wind,COA-BiLSTM,42,63,0.6564,"{""hidden_dim"":190,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.389}"
wind,COA-BiLSTM,42,64,0.6801,"{""hidden_dim"":192,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.392}"
wind,COA-BiLSTM,42,65,0.6722,"{""hidden_dim"":194,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.395}"
wind,COA-BiLSTM,42,66,0.6768,"{""hidden_dim"":196,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.398}"
wind,COA-BiLSTM,42,67,0.6867,"{""hidden_dim"":198,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.401}"
wind,COA-BiLSTM,42,68,0.6745,"{""hidden_dim"":200,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.404}"
wind,COA-BiLSTM,42,69,0.6891,"{""hidden_dim"":202,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.40700000000000003}"
wind,COA-BiLSTM,42,70,0.6995,"{""hidden_dim"":204,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41000000000000003}"
wind,COA-BiLSTM,42,71,0.6963,"{""hidden_dim"":206,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41300000000000003}"
wind,COA-BiLSTM,42,72,0.7106,"{""hidden_dim"":208,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41600000000000004}"
wind,COA-BiLSTM,42,73,0.6877,"{""hidden_dim"":210,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41900000000000004}"
wind,COA-BiLSTM,42,74,0.6989,"{""hidden_dim"":212,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.42200000000000004}"
wind,COA-BiLSTM,42,75,0.7064,"{""hidden_dim"":214,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.425}"
wind,COA-BiLSTM,42,76,0.7039,"{""hidden_dim"":216,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.428}"
wind,COA-BiLSTM,42,77,0.7095,"{""hidden_dim"":218,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.431}"
wind,COA-BiLSTM,42,78,0.7115,"{""hidden_dim"":220,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.434}"
wind,COA-BiLSTM,42,79,0.7018,"{""hidden_dim"":222,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.437}"
wind,COA-BiLSTM,42,80,0.7257,"{""hidden_dim"":224,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44}"
wind,COA-BiLSTM,42,81,0.7256,"{""hidden_dim"":226,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.443}"
wind,COA-BiLSTM,42,82,0.7298,"{""hidden_dim"":228,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44599999999999995}"
wind,COA-BiLSTM,42,83,0.7317,"{""hidden_dim"":230,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44899999999999995}"
wind,COA-BiLSTM,42,84,0.7334,"{""hidden_dim"":232,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.452}"
wind,COA-BiLSTM,42,85,0.7398,"{""hidden_dim"":234,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.455}"
wind,COA-BiLSTM,42,86,0.749,"{""hidden_dim"":236,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.458}"
wind,COA-BiLSTM,42,87,0.7409,"{""hidden_dim"":238,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.461}"
wind,COA-BiLSTM,42,88,0.7561,"{""hidden_dim"":240,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.464}"
wind,COA-BiLSTM,42,89,0.7499,"{""hidden_dim"":242,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.467}"
wind,COA-BiLSTM,42,90,0.7758,"{""hidden_dim"":244,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.47000000000000003}"
wind,COA-BiLSTM,42,91,0.7537,"{""hidden_dim"":246,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.47300000000000003}"
wind,COA-BiLSTM,42,92,0.7669,"{""hidden_dim"":248,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.47600000000000003}"
wind,COA-BiLSTM,42,93,0.7625,"{""hidden_dim"":250,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.47900000000000004}"
wind,COA-BiLSTM,42,94,0.7604,"{""hidden_dim"":252,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.482}"
wind,COA-BiLSTM,42,95,0.7858,"{""hidden_dim"":254,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.485}"
wind,COA-BiLSTM,42,96,0.7884,"{""hidden_dim"":256,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.488}"
wind,COA-BiLSTM,42,97,0.7644,"{""hidden_dim"":258,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.491}"
wind,COA-BiLSTM,42,98,0.7675,"{""hidden_dim"":260,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.494}"
wind,COA-BiLSTM,42,99,0.7762,"{""hidden_dim"":262,""num_layers"":5,""learning_rate"":0.0003874204890000001,""dropout"":0.497}"
wind,COA-BiLSTM,123,0,0.2231,"{""hidden_dim"":64,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.2}"
wind,COA-BiLSTM,123,1,0.2933,"{""hidden_dim"":66,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.203}"
wind,COA-BiLSTM,123,2,0.3153,"{""hidden_dim"":68,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.20600000000000002}"
wind,COA-BiLSTM,123,3,0.3184,"{""hidden_dim"":70,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.20900000000000002}"
wind,COA-BiLSTM,123,4,0.3352,"{""hidden_dim"":72,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.21200000000000002}"
wind,COA-BiLSTM,123,5,0.3602,"{""hidden_dim"":74,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.21500000000000002}"
wind,COA-BiLSTM,123,6,0.3636,"{""hidden_dim"":76,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.218}"
wind,COA-BiLSTM,123,7,0.3751,"{""hidden_dim"":78,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.221}"
wind,COA-BiLSTM,123,8,0.3635,"{""hidden_dim"":80,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.224}"
wind,COA-BiLSTM,123,9,0.4043,"{""hidden_dim"":82,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.227}"
wind,COA-BiLSTM,123,10,0.4097,"{""hidden_dim"":84,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23}"
wind,COA-BiLSTM,123,11,0.4168,"{""hidden_dim"":86,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.233}"
wind,COA-BiLSTM,123,12,0.4146,"{""hidden_dim"":88,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23600000000000002}"
wind,COA-BiLSTM,123,13,0.4338,"{""hidden_dim"":90,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23900000000000002}"
wind,COA-BiLSTM,123,14,0.4456,"{""hidden_dim"":92,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.24200000000000002}"
wind,COA-BiLSTM,123,15,0.4481,"{""hidden_dim"":94,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.245}"
wind,COA-BiLSTM,123,16,0.4558,"{""hidden_dim"":96,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.248}"
wind,COA-BiLSTM,123,17,0.457,"{""hidden_dim"":98,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.251}"
wind,COA-BiLSTM,123,18,0.4876,"{""hidden_dim"":100,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.254}"
wind,COA-BiLSTM,123,19,0.4716,"{""hidden_dim"":102,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.257}"
wind,COA-BiLSTM,123,20,0.475,"{""hidden_dim"":104,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.26}"
wind,COA-BiLSTM,123,21,0.4901,"{""hidden_dim"":106,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.263}"
wind,COA-BiLSTM,123,22,0.5124,"{""hidden_dim"":108,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.266}"
wind,COA-BiLSTM,123,23,0.4919,"{""hidden_dim"":110,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.269}"
wind,COA-BiLSTM,123,24,0.5036,"{""hidden_dim"":112,""num_layers"":2,""learning_rate"":0.0008100000000000001,""dropout"":0.272}"
wind,COA-BiLSTM,123,25,0.4974,"{""hidden_dim"":114,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.275}"
wind,COA-BiLSTM,123,26,0.5197,"{""hidden_dim"":116,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.278}"
wind,COA-BiLSTM,123,27,0.5179,"{""hidden_dim"":118,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.281}"
wind,COA-BiLSTM,123,28,0.4975,"{""hidden_dim"":120,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.28400000000000003}"
wind,COA-BiLSTM,123,29,0.5297,"{""hidden_dim"":122,""num_layers"":3,""learning_rate"":0.0008100000000000001,""dropout"":0.28700000000000003}"
wind,COA-BiLSTM,123,30,0.531,"{""hidden_dim"":124,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29000000000000004}"
wind,COA-BiLSTM,123,31,0.5573,"{""hidden_dim"":126,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29300000000000004}"
wind,COA-BiLSTM,123,32,0.5415,"{""hidden_dim"":128,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29600000000000004}"
wind,COA-BiLSTM,123,33,0.5696,"{""hidden_dim"":130,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.29900000000000004}"
wind,COA-BiLSTM,123,34,0.5284,"{""hidden_dim"":132,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.30200000000000005}"
wind,COA-BiLSTM,123,35,0.56,"{""hidden_dim"":134,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.305}"
wind,COA-BiLSTM,123,36,0.5476,"{""hidden_dim"":136,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.308}"
wind,COA-BiLSTM,123,37,0.5589,"{""hidden_dim"":138,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.311}"
wind,COA-BiLSTM,123,38,0.5726,"{""hidden_dim"":140,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.314}"
wind,COA-BiLSTM,123,39,0.5751,"{""hidden_dim"":142,""num_layers"":3,""learning_rate"":0.0007290000000000002,""dropout"":0.317}"
wind,COA-BiLSTM,123,40,0.5786,"{""hidden_dim"":144,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.32}"
wind,COA-BiLSTM,123,41,0.5814,"{""hidden_dim"":146,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.323}"
wind,COA-BiLSTM,123,42,0.588,"{""hidden_dim"":148,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.326}"
wind,COA-BiLSTM,123,43,0.5998,"{""hidden_dim"":150,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.329}"
wind,COA-BiLSTM,123,44,0.591,"{""hidden_dim"":152,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.332}"
wind,COA-BiLSTM,123,45,0.5958,"{""hidden_dim"":154,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.335}"
wind,COA-BiLSTM,123,46,0.611,"{""hidden_dim"":156,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.338}"
wind,COA-BiLSTM,123,47,0.6159,"{""hidden_dim"":158,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.34099999999999997}"
wind,COA-BiLSTM,123,48,0.6212,"{""hidden_dim"":160,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.344}"
wind,COA-BiLSTM,123,49,0.6073,"{""hidden_dim"":162,""num_layers"":3,""learning_rate"":0.0006561000000000001,""dropout"":0.347}"
wind,COA-BiLSTM,123,50,0.6106,"{""hidden_dim"":164,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.35}"
wind,COA-BiLSTM,123,51,0.63,"{""hidden_dim"":166,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.353}"
wind,COA-BiLSTM,123,52,0.6216,"{""hidden_dim"":168,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.356}"
wind,COA-BiLSTM,123,53,0.6211,"{""hidden_dim"":170,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.359}"
wind,COA-BiLSTM,123,54,0.6354,"{""hidden_dim"":172,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.362}"
wind,COA-BiLSTM,123,55,0.6323,"{""hidden_dim"":174,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.365}"
wind,COA-BiLSTM,123,56,0.6411,"{""hidden_dim"":176,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.368}"
wind,COA-BiLSTM,123,57,0.6547,"{""hidden_dim"":178,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.371}"
wind,COA-BiLSTM,123,58,0.6529,"{""hidden_dim"":180,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.374}"
wind,COA-BiLSTM,123,59,0.6584,"{""hidden_dim"":182,""num_layers"":4,""learning_rate"":0.00059049,""dropout"":0.377}"
wind,COA-BiLSTM,123,60,0.6565,"{""hidden_dim"":184,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.38}"
wind,COA-BiLSTM,123,61,0.6692,"{""hidden_dim"":186,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.383}"
wind,COA-BiLSTM,123,62,0.6639,"{""hidden_dim"":188,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.386}"
wind,COA-BiLSTM,123,63,0.6797,"{""hidden_dim"":190,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.389}"
wind,COA-BiLSTM,123,64,0.6684,"{""hidden_dim"":192,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.392}"
wind,COA-BiLSTM,123,65,0.6803,"{""hidden_dim"":194,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.395}"
wind,COA-BiLSTM,123,66,0.6702,"{""hidden_dim"":196,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.398}"
wind,COA-BiLSTM,123,67,0.6724,"{""hidden_dim"":198,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.401}"
wind,COA-BiLSTM,123,68,0.6685,"{""hidden_dim"":200,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.404}"
wind,COA-BiLSTM,123,69,0.6741,"{""hidden_dim"":202,""num_layers"":4,""learning_rate"":0.000531441,""dropout"":0.40700000000000003}"
wind,COA-BiLSTM,123,70,0.6841,"{""hidden_dim"":204,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41000000000000003}"
wind,COA-BiLSTM,123,71,0.6989,"{""hidden_dim"":206,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41300000000000003}"
wind,COA-BiLSTM,123,72,0.6993,"{""hidden_dim"":208,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41600000000000004}"
wind,COA-BiLSTM,123,73,0.7041,"{""hidden_dim"":210,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.41900000000000004}"
wind,COA-BiLSTM,123,74,0.6976,"{""hidden_dim"":212,""num_layers"":4,""learning_rate"":0.0004782969000000001,""dropout"":0.42200000000000004}"
wind,COA-BiLSTM,123,75,0.7127,"{""hidden_dim"":214,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.425}"
wind,COA-BiLSTM,123,76,0.7147,"{""hidden_dim"":216,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.428}"
wind,COA-BiLSTM,123,77,0.73,"{""hidden_dim"":218,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.431}"
wind,COA-BiLSTM,123,78,0.7311,"{""hidden_dim"":220,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.434}"
wind,COA-BiLSTM,123,79,0.7094,"{""hidden_dim"":222,""num_layers"":5,""learning_rate"":0.0004782969000000001,""dropout"":0.437}"
wind,COA-BiLSTM,123,80,0.7156,"{""hidden_dim"":224,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44}"
wind,COA-BiLSTM,123,81,0.7344,"{""hidden_dim"":226,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.443}"
wind,COA-BiLSTM,123,82,0.7174,"{""hidden_dim"":228,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44599999999999995}"
wind,COA-BiLSTM,123,83,0.7455,"{""hidden_dim"":230,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.44899999999999995}"
wind,COA-BiLSTM,123,84,0.7495,"{""hidden_dim"":232,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.452}"
wind,COA-BiLSTM,123,85,0.747,"{""hidden_dim"":234,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.455}"
wind,COA-BiLSTM,123,86,0.7547,"{""hidden_dim"":236,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.458}"
wind,COA-BiLSTM,123,87,0.7502,"{""hidden_dim"":238,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.461}"
wind,COA-BiLSTM,123,88,0.7476,"{""hidden_dim"":240,""num_layers"":5,""learning_rate"":0.0004304672100000001,""dropout"":0.464}"
